"guid","spelling","published","abbr1","abbr2","abbr3","type","gloss","character","arity","relational phrase","Original Textbook Order","LogFlash Order/Frequency",,"frequency"
100000,"bacru",,,,"ba'u","gismu","utter","说",2,"x1 utters verbally/says/phonates/speaks [vocally makes sound] x2","1h",386,82,82
100001,"badna",,,,,"gismu","banana","蕉",2,"x1 is a banana/plantain [fruit/plant] of species/breed x2","aj",2,"#N/A",0
100002,"badri",,,"dri",,"gismu","sad","囧",2,"x1 is sad/depressed/dejected/[unhappy/feels sorrow/grief] about x2 (abstraction)","3c",91,39,39
100003,"bajra",,"baj",,,"gismu","run","跑",4,"x1 runs on surface x2 using limbs x3 with gait x4","2b",0,37,37
100004,"bakfu",,"baf",,,"gismu","bundle","包",3,"x1 is a bundle/package/cluster/clump/pack [shape/form] containing x2, held together by x3","9b",3,"#N/A",0
100005,"bakni",,"bak",,,"gismu","bovine","牛",2,"x1 is a cow/cattle/kine/ox/[bull/steer/calf] [beef-producer/bovine] of species/breed x2","ai",8,5,5
100006,"bakri",,,,,"gismu","chalk","垩",3,"x1 is a quantity of/contains/is made of chalk from source x2 in form x3","ah",2,"#N/A",0
100007,"baktu",,,,,"gismu","bucket","桶",3,"x1 is a bucket/pail/can/deep, solid, wide-topped container of contents x2, made of material x3","ao",0,"#N/A",0
100008,"balji",,,,,"gismu","bulb","鳞",2,"x1 is a bulb [body-part] of plant/species x2; [metaphor: rounded, bulgy]","aj",1,2,2
100009,"balni",,,,,"gismu","balcony","悬",2,"x1 is a balcony/overhang/ledge/shelf of building/structure x2","a",0,"#N/A",0
100010,"balre",,,,"ba'e","gismu","blade","刃",2,"x1 is a blade of tool/weapon x2","a",3,1,1
100011,"balvi",,"bav",,,"gismu","future","未",2,"x1 is in the future of/later than/after x2 in time sequence; x1 is latter; x2 is former","4a",56,7,7
100012,"bancu",,"bac",,,"gismu","beyond","超",4,"x1 exceeds/is beyond limit/boundary x2 from x3 in property/amount x4 (ka/ni)","7j",7,6,6
100013,"bandu",,"bad",,,"gismu","defend","守",3,"x1 (event) defends/protects x2 (object/state) from threat/peril/potential x3 (event)","8g",9,5,5
100014,"banfi",,,,,"gismu","amphibian","栖",2,"x1 is an amphibian of species/breed x2","ai",4,2,2
100015,"bangu",,"ban",,"bau","gismu","language","语",3,"x1 is a/the language/dialect used by x2 to express/communicate x3 (si'o/du'u, not quote)","1b",162,58,58
100016,"banli",,"bal",,"ba'i","gismu","great","伟",3,"x1 is great/grand in property x2 (ka) by standard x3","7j",96,44,44
100017,"banro",,,,"ba'o","gismu","grow","增",3,"x1 grows/expands [an increasing development] to size/into form x2 from x3","8f",26,31,31
100018,"banxa",,"bax",,,"gismu","bank","贮",3,"x1 is a bank owned by/in banking system x2 for banking function(s) x3 (event)","ap",0,"#N/A",0
100019,"banzu",,"baz",,,"gismu","suffice","够",3,"x1 (object) suffices/is enough/sufficient for purpose x2 under conditions x3","3m",89,40,40
100020,"bapli",,"bap",,"bai","gismu","force","迫",2,"x1 [force] (ka) forces/compels event x2 to occur; x1 determines property x2 to manifest","as",20,7,7
100021,"barda",,,"bra",,"gismu","big","大",3,"x1 is big/large in property/dimension(s) x2 (ka) as compared with standard/norm x3","1e",318,70,70
100022,"bargu",,"bag",,,"gismu","arch","拱",3,"x1 arches/curves over/around x2 and is made of x3; x1 is an arch over/around x2 of material x3","9b",9,4,4
100023,"barja",,,,,"gismu","bar","吧",3,"x1 is a tavern/bar/pub serving x2 to audience/patrons x3","ap",0,12,12
100024,"barna",,,,"ba'a","gismu","mark","志",3,"x1(s) is a/are mark(s)/spot(s) on x2 of material x3","a",0,13,13
100025,"bartu",,"bar",,,"gismu","out","外",2,"x1 is on the outside of x2; x1 is exterior to x2","1e",82,27,27
100026,"basna",,,,,"gismu","emphasize","突",3,"x1 emphasizes/accentuates/gives emphasis/stress/accent to x2 by (action) x3","1h",16,2,2
100027,"basti",,"bas",,,"gismu","replace","替",3,"x1 replaces/substitutes for/instead of x2 in circumstance x3; x1 is a replacement/substitute","3m",35,14,14
100028,"batci",,"bat",,,"gismu","bite","咬",4,"x1 bites/pinches x2 on/at specific locus x3 with x4","5c",83,3,3
100029,"batke",,,,,"gismu","button","钮",4,"x1 is a button/knob/[handle] on/for item x2, with purpose x3, made of material x4","a",2,2,2
100030,"bavmi",,,,,"gismu","barley","牟",2,"x1 is a quantity of barley [grain] of species/strain x2","aj",3,4,4
100031,"baxso",,,,,"gismu","Malay-Indonesian","尼",2,"x1 reflects Malay-Indonesian common language/culture in aspect x2","ab",2,"#N/A",0
100032,"bebna",,"beb",,,"gismu","foolish","傻",2,"x1 is foolish/silly in event/action/property [folly] (ka) x2; x1 is a boob","5g",69,28,28
100033,"bemro",,"bem",,"be'o","gismu","North American","洮",2,"x1 reflects North American culture/nationality/geography in aspect x2","ab",6,1,1
100034,"bende",,"bed",,"be'e","gismu","crew","队",4,"x1 is a crew/team/gang/squad/band of persons x2 directed/led by x3 organized for purpose x4","ap",1,3,3
100035,"bengo",,"beg",,,"gismu","Bengali","孟",2,"x1 reflects Bengali/Bangladesh culture/nationality/language in aspect x2","ab",1,"#N/A",0
100036,"benji",,"bej",,"be'i","gismu","transfer","发",5,"x1 transfers/sends/transmits x2 to receiver x3 from transmitter/origin x4 via means/medium x5","4i",79,26,26
100037,"bersa",,"bes",,"be'a","gismu","son","儿",2,"x1 is a son of mother/father/parents x2 [not necessarily biological]","4b",29,20,20
100038,"berti",,"ber",,,"gismu","north","北",3,"x1 is to the north/northern side [right-hand-rule pole] of x2 according to frame of reference x3","5d",91,11,11
100039,"besna",,"ben",,,"gismu","brain","脑",2,"x1 is a/the brain [body-part] of x2; [metaphor: intelligence, mental control]","aa",17,3,3
100040,"betfu",,"bef",,"be'u","gismu","abdomen","腹",2,"x1 is a/the abdomen/belly/lower trunk [body-part] of x2; [metaphor: midsection]","1c",9,1,1
100041,"betri",,"bet",,,"gismu","tragedy","悲",2,"x1 is a tragedy/disaster/tragic for x2","4c",53,3,3
100042,"bevri",,"bev",,"bei","gismu","carry","带",5,"x1 carries/hauls/bears/transports cargo x2 to x3 from x4 over path x5; x1 is a carrier/[porter]","2b",149,29,29
100043,"bidju",,,,,"gismu","bead","珠",2,"x1 is a bead/pebble [shape/form] of material x2","9b",19,2,2
100044,"bifce",,"bic",,,"gismu","bee","蜂",2,"x1 is a bee/wasp/hornet of species/breed x2","ai",0,"#N/A",0
100045,"bikla",,"bik",,,"gismu","whip","鞭",1,"x1 whips/lashes/snaps [a sudden violent motion]","ao",24,"#N/A",0
100046,"bilga",,"big",,,"gismu","obliged","务",3,"x1 is bound/obliged to/has the duty to do/be x2 in/by standard/agreement x3; x1 must do x2","8c",34,33,33
100047,"bilma",,,,"bi'a","gismu","ill","冒",3,"x1 is ill/sick/diseased with symptoms x2 from disease x3","4c",22,15,15
100048,"bilni",,"bil",,,"gismu","military","练",3,"x1 is military/regimented/is strongly organized/prepared by system x2 for purpose x3","a",0,"#N/A",0
100049,"bindo",,"bid",,,"gismu","Indonesian","哇",2,"x1 reflects Indonesian culture/nationality/language in aspect x2","ab",1,"#N/A",0
100050,"binra",,,,,"gismu","insure","保",4,"x1 insures/indemnifies x2 (person) against peril x3 (event) providing benefit(s) x4 (event)","a",0,"#N/A",0
100051,"binxo",,"bix",,"bi'o","gismu","become","变",3,"x1 becomes/changes/converts/transforms into x2 under conditions x3","2c",217,42,42
100052,"birje",,,,,"gismu","beer","啤",2,"x1 is made of/contains/is a amount of beer/ale/brew brewed from x2","2j",13,4,4
100053,"birka",,"bir",,,"gismu","arm","臂",2,"x1 is a/the arm [body-part] of x2; [metaphor: branch with strength]","1c",57,21,21
100054,"birti",,"bit",,,"gismu","certain","服",2,"x1 is certain/sure/positive/convinced that x2 is true","3l",31,6,6
100055,"bisli",,"bis",,,"gismu","ice","冰",2,"x1 is a quantity of/is made of/contains ice [frozen crystal] of composition/material x2","5b",43,1,1
100056,"bitmu",,"bim",,"bi'u","gismu","wall","墙",4,"x1 is a wall/fence separating x2 and x3 (unordered) of/in structure x4","1h",152,13,13
100057,"blabi",,"lab",,,"gismu","white","白",1,"x1 is white/very-light colored [color adjective]","1a",107,40,40
100058,"blaci",,,,,"gismu","glass","玻",2,"x1 is a quantity of/is made of/contains glass of composition including x2","6b",5,10,10
100059,"blanu",,,"bla",,"gismu","blue","蓝",1,"x1 is blue [color adjective]","1a",132,5,5
100060,"bliku",,,"bli",,"gismu","block","块",3,"x1 is a block [3-dimensional shape/form] of material x2, surfaces/sides x3","9b",8,1,1
100061,"bloti",,"lot","blo","lo'i","gismu","boat","船",3,"x1 is a boat/ship/vessel [vehicle] for carrying x2, propelled by x3","7f",33,6,6
100062,"bolci",,"bol",,"boi","gismu","ball","球",2,"x1 is a ball/sphere/orb/globe [shape/form] of material x2; x1 is a spherical object [made of x2]","9b",36,1,1
100063,"bongu",,"bog",,"bo'u","gismu","bone","骨",3,"x1 is a/the bone/ivory [body-part], performing function x2 in body of x3; [metaphor: calcium]","aa",3,3,3
100064,"botpi",,"bot",,"bo'i","gismu","bottle","瓶",4,"x1 is a bottle/jar/urn/flask/closable container for x2, made of material x3 with lid x4","1f",79,17,17
100065,"boxfo",,"bof",,"bo'o","gismu","sheet","箔",2,"x1 is a sheet/foil/blanket [2-dimensional shape/form flexible in 3 dimensions] of material x2","9b",0,1,1
100066,"boxna",,"bon",,"bo'a","gismu","wave","浪",5,"x1 is a wave [periodic pattern] in medium x2, wave-form x3, wave-length x4, frequency x5","9b",14,4,4
100067,"bradi",,,,,"gismu","enemy","敌",3,"x1 is an enemy/opponent/adversary/foe of x2 in struggle x3","2i",8,3,3
100068,"bratu",,,,,"gismu","hail","雹",2,"x1 is hail/sleet/freezing rain/solid precipitation of material/composition including x2","4h",0,"#N/A",0
100069,"brazo",,"raz",,,"gismu","Brazilian","孙",2,"x1 reflects Brazilian culture/nationality/language in aspect x2","ab",1,"#N/A",0
100070,"bredi",,"red","bre",,"gismu","ready","备",2,"x1 is ready/prepared for x2 (event)","9c",36,18,18
